Cell_ID,Batch_ID,Production_Line,Shift,Supplier,Ambient_Temp_C,Anode_Overhang_mm,Electrolyte_Volume_ml,Internal_Resistance_mOhm,Capacity_mAh,Retention_50Cycle_Pct,Defect_Type
CELL-014027,BTH-0102,Line_2,Morning,VoltIndustries,22.56,0.134,15.02,14.92,4991,97.71,None
CELL-004497,BTH-0001,Line_1,Evening,ChemCorp,21.83,0.138,14.92,13.82,4996,97.59,None
CELL-008199,BTH-0430,Line_2,Night,ChemCorp,20.81,0.148,14.87,13.55,4987,97.97,None
CELL-006723,BTH-0064,Line_1,Evening,ChemCorp,24.82,0.114,15.03,14.12,4983,97.71,None
CELL-010250,BTH-0498,Line_3,Night,VoltIndustries,19.13,0.123,15.2,15.25,4991,97.72,High Internal Resistance
CELL-019583,BTH-0039,Line_2,Morning,LithioMat,22.3,0.107,14.86,13.65,5023,95.97,Poor Retention
CELL-010956,BTH-0394,Line_3,Morning,LithioMat,25.16,0.159,15.23,13.88,4980,95.75,None
CELL-014610,BTH-0436,Line_1,Morning,ChemCorp,23.47,0.133,14.99,14.25,4974,96.85,None
CELL-008791,BTH-0221,Line_3,Morning,ChemCorp,23.35,0.136,15.06,13.57,5031,96.61,None
CELL-017236,BTH-0170,Line_1,Night,ChemCorp,21.24,0.142,14.93,14.07,4960,97.03,None
CELL-015048,BTH-0038,Line_1,Night,VoltIndustries,19.98,0.126,15.07,14.98,4990,96.73,None
CELL-009365,BTH-0377,Line_1,Morning,ChemCorp,25.09,0.109,14.85,13.13,4960,97.34,None
CELL-017233,BTH-0402,Line_2,Night,ChemCorp,21.54,0.157,14.96,13.94,5015,96.82,None
CELL-016479,BTH-0008,Line_1,Morning,VoltIndustries,26.74,0.171,14.82,13.81,5023,96.46,None
CELL-004149,BTH-0227,Line_1,Evening,ChemCorp,24.79,0.167,15.11,14.44,4976,96.37,None
CELL-014618,BTH-0482,Line_2,Evening,ChemCorp,22.36,0.104,14.98,14.45,4983,96.49,None
CELL-009584,BTH-0346,Line_2,Evening,LithioMat,22.19,0.154,15.0,14.38,4996,96.26,None
CELL-003125,BTH-0160,Line_1,Evening,ChemCorp,24.71,0.089,15.07,13.64,4993,97.22,Poor Retention
CELL-011634,BTH-0450,Line_2,Evening,VoltIndustries,25.02,0.118,15.07,15.27,4937,97.72,High Internal Resistance
CELL-009225,BTH-0472,Line_3,Night,ChemCorp,23.86,0.11,15.0,14.93,4917,96.87,None
CELL-014304,BTH-0017,Line_3,Night,VoltIndustries,22.29,0.175,15.03,14.26,4995,97.54,None
CELL-015780,BTH-0072,Line_1,Morning,LithioMat,24.57,0.143,15.04,14.48,5018,97.37,None
CELL-018217,BTH-0475,Line_2,Morning,LithioMat,24.46,0.12,14.92,13.8,5048,97.66,None
CELL-005227,BTH-0024,Line_1,Evening,VoltIndustries,25.28,0.126,15.05,14.7,4978,96.98,None
CELL-002924,BTH-0300,Line_2,Evening,LithioMat,27.03,0.105,14.65,15.77,4908,94.07,High Internal Resistance
CELL-012963,BTH-0290,Line_1,Night,ChemCorp,21.4,0.143,14.89,13.74,4977,96.88,None
CELL-016998,BTH-0204,Line_1,Evening,ChemCorp,24.61,0.119,15.02,13.78,4956,97.08,None
CELL-014881,BTH-0333,Line_3,Night,LithioMat,20.33,0.181,15.04,14.3,4974,97.12,None
CELL-016736,BTH-0211,Line_1,Morning,LithioMat,22.15,0.139,14.92,14.4,5022,97.15,None
CELL-006269,BTH-0495,Line_2,Night,ChemCorp,22.7,0.108,14.99,14.49,4991,97.61,None
CELL-010824,BTH-0003,Line_3,Night,ChemCorp,22.68,0.134,14.97,13.76,5041,97.57,None
CELL-011280,BTH-0374,Line_2,Night,LithioMat,23.37,0.13,15.21,13.88,4976,95.65,None
CELL-000630,BTH-0451,Line_1,Morning,ChemCorp,24.89,0.101,15.11,14.11,4986,97.06,None
CELL-000048,BTH-0446,Line_1,Night,VoltIndustries,21.53,0.123,14.94,14.96,5002,96.19,None
CELL-012869,BTH-0134,Line_1,Night,ChemCorp,22.96,0.15,14.97,14.87,4956,97.18,None
CELL-011275,BTH-0008,Line_2,Evening,LithioMat,25.5,0.173,14.76,15.04,4998,95.54,High Internal Resistance
CELL-000865,BTH-0445,Line_2,Morning,ChemCorp,24.12,0.126,14.94,13.62,5010,97.24,None
CELL-003934,BTH-0376,Line_2,Evening,VoltIndustries,25.89,0.14,14.86,14.32,4985,98.29,None
CELL-013463,BTH-0203,Line_1,Night,LithioMat,20.89,0.134,14.92,14.04,4961,97.11,None
CELL-013421,BTH-0270,Line_2,Morning,VoltIndustries,24.18,0.16,15.09,14.33,5030,95.41,None
CELL-010784,BTH-0092,Line_1,Evening,ChemCorp,21.7,0.153,15.05,13.59,5055,96.42,None
CELL-019260,BTH-0214,Line_3,Night,ChemCorp,19.31,0.153,14.88,13.95,5016,97.94,None
CELL-014955,BTH-0077,Line_1,Morning,ChemCorp,24.62,0.16,15.26,14.2,4969,98.09,None
CELL-017700,BTH-0303,Line_1,Morning,ChemCorp,23.26,0.121,14.99,14.21,4991,97.8,None
CELL-002868,BTH-0489,Line_1,Morning,LithioMat,21.26,0.136,15.1,14.27,4987,96.89,None
CELL-000251,BTH-0307,Line_1,Night,ChemCorp,24.32,0.124,14.97,14.82,4974,96.69,None
CELL-019589,BTH-0077,Line_3,Evening,ChemCorp,24.98,0.159,14.96,14.53,4948,96.87,None
CELL-017135,BTH-0020,Line_1,Morning,ChemCorp,22.49,0.124,14.93,14.63,4946,96.98,None
CELL-001470,BTH-0485,Line_2,Morning,VoltIndustries,23.04,0.162,15.1,14.24,4995,96.35,None
CELL-015128,BTH-0288,Line_2,Morning,LithioMat,25.17,0.125,14.99,13.78,5007,95.78,None
CELL-001410,BTH-0213,Line_3,Evening,ChemCorp,24.75,0.165,15.05,12.92,4979,97.36,None
CELL-008901,BTH-0157,Line_1,Morning,ChemCorp,23.76,0.149,15.1,14.54,4948,98.06,None
CELL-016989,BTH-0292,Line_2,Morning,LithioMat,26.03,0.137,14.73,15.45,4941,98.05,High Internal Resistance
CELL-012317,BTH-0233,Line_1,Evening,ChemCorp,25.05,0.135,14.84,15.05,4947,96.49,High Internal Resistance
CELL-018904,BTH-0307,Line_1,Night,ChemCorp,23.59,0.126,15.01,14.61,4949,96.95,None
CELL-019468,BTH-0256,Line_3,Morning,ChemCorp,25.08,0.118,15.14,14.1,4983,95.88,None
CELL-011859,BTH-0257,Line_2,Morning,ChemCorp,21.85,0.084,15.19,14.06,5019,96.69,Poor Retention
CELL-003614,BTH-0151,Line_2,Night,VoltIndustries,20.0,0.157,15.11,14.74,5041,97.24,None
CELL-011026,BTH-0002,Line_3,Evening,ChemCorp,24.89,0.139,15.0,13.52,4966,96.56,None
CELL-011811,BTH-0196,Line_2,Night,ChemCorp,19.97,0.114,15.01,14.01,4991,96.56,None
CELL-017653,BTH-0087,Line_1,Night,ChemCorp,21.06,0.125,14.99,14.33,5054,96.43,None
CELL-013317,BTH-0313,Line_3,Night,LithioMat,19.52,0.137,14.94,13.8,5022,96.95,None
CELL-016956,BTH-0102,Line_2,Night,ChemCorp,21.46,0.109,15.1,14.07,5029,96.47,None
CELL-003782,BTH-0173,Line_2,Night,ChemCorp,21.77,0.08,15.05,14.37,4997,97.43,Poor Retention
CELL-013214,BTH-0231,Line_2,Night,LithioMat,20.46,0.116,14.91,14.24,4971,96.92,None
CELL-000445,BTH-0481,Line_1,Morning,ChemCorp,22.41,0.139,14.97,14.66,4999,96.97,None
CELL-002396,BTH-0012,Line_3,Morning,ChemCorp,23.23,0.13,14.96,14.75,4994,98.44,None
CELL-008961,BTH-0473,Line_2,Morning,VoltIndustries,24.65,0.129,14.94,13.91,4977,97.39,None
CELL-015454,BTH-0390,Line_3,Night,ChemCorp,21.02,0.102,14.98,13.68,4963,96.44,None
CELL-012897,BTH-0267,Line_1,Morning,ChemCorp,26.07,0.121,14.92,13.94,4981,98.0,None
CELL-019945,BTH-0213,Line_1,Night,LithioMat,21.83,0.112,15.0,14.07,4988,97.91,None
CELL-000892,BTH-0348,Line_3,Evening,ChemCorp,24.03,0.13,14.92,13.95,5017,97.08,None
CELL-007321,BTH-0377,Line_3,Night,LithioMat,19.2,0.143,14.98,14.84,5034,96.53,None
CELL-011304,BTH-0430,Line_3,Morning,ChemCorp,22.65,0.123,14.98,14.74,4975,97.24,None
CELL-014506,BTH-0452,Line_2,Evening,ChemCorp,27.11,0.165,14.82,13.22,4993,95.68,None
CELL-015739,BTH-0114,Line_2,Morning,VoltIndustries,23.57,0.149,15.11,15.21,4960,96.52,High Internal Resistance
CELL-008928,BTH-0075,Line_2,Morning,ChemCorp,25.73,0.174,14.94,14.02,4994,97.01,None
CELL-005716,BTH-0123,Line_2,Evening,ChemCorp,27.39,0.151,14.64,14.38,4994,97.18,None
CELL-009911,BTH-0064,Line_1,Night,ChemCorp,20.27,0.122,15.07,14.01,5016,97.66,None
CELL-006176,BTH-0069,Line_2,Morning,LithioMat,28.0,0.165,14.84,14.02,5021,97.23,None
CELL-011139,BTH-0107,Line_2,Evening,LithioMat,22.93,0.172,14.89,14.03,5019,97.11,None
CELL-008532,BTH-0278,Line_1,Night,ChemCorp,22.25,0.139,14.95,14.68,5020,96.91,None
CELL-011354,BTH-0053,Line_1,Night,LithioMat,21.83,0.16,15.02,12.99,5049,96.92,None
CELL-017089,BTH-0487,Line_3,Evening,ChemCorp,25.44,0.124,14.95,14.31,5013,96.68,None
CELL-001831,BTH-0027,Line_1,Night,ChemCorp,21.88,0.129,15.12,13.92,4994,95.76,None
CELL-003994,BTH-0098,Line_2,Night,VoltIndustries,20.35,0.174,14.97,14.66,4965,96.85,None
CELL-005686,BTH-0039,Line_1,Night,ChemCorp,23.34,0.125,15.04,14.26,4981,96.74,None
CELL-016853,BTH-0149,Line_2,Evening,ChemCorp,25.17,0.149,15.03,13.94,4997,97.1,None
CELL-007946,BTH-0363,Line_1,Morning,LithioMat,26.5,0.118,14.95,14.31,5011,97.28,None
CELL-012499,BTH-0427,Line_2,Morning,LithioMat,26.19,0.098,14.74,16.19,4812,93.39,High Internal Resistance
CELL-018005,BTH-0352,Line_2,Night,ChemCorp,20.89,0.138,15.07,13.32,5046,98.05,None
CELL-012934,BTH-0109,Line_3,Night,ChemCorp,20.49,0.11,15.0,13.34,5009,97.71,None
CELL-006411,BTH-0020,Line_2,Night,LithioMat,22.06,0.151,15.02,14.5,4994,97.46,None
CELL-017888,BTH-0432,Line_3,Morning,VoltIndustries,26.13,0.137,14.84,15.34,4946,95.43,High Internal Resistance
CELL-012368,BTH-0231,Line_2,Morning,LithioMat,23.54,0.146,15.03,13.12,4980,97.9,None
CELL-003585,BTH-0468,Line_1,Night,ChemCorp,19.5,0.092,15.01,13.54,4982,96.45,None
CELL-011092,BTH-0490,Line_3,Evening,LithioMat,23.67,0.113,15.12,14.92,5025,97.01,None
CELL-012046,BTH-0344,Line_1,Evening,LithioMat,25.12,0.161,15.12,14.23,4985,98.06,None
CELL-015678,BTH-0057,Line_3,Night,ChemCorp,19.74,0.109,15.02,13.75,5016,98.75,None
CELL-005063,BTH-0343,Line_2,Evening,ChemCorp,24.98,0.118,14.95,13.81,5052,98.02,None
CELL-012195,BTH-0432,Line_3,Evening,VoltIndustries,24.3,0.126,14.98,14.6,5027,97.14,None
CELL-011716,BTH-0372,Line_1,Morning,ChemCorp,23.87,0.129,15.15,13.33,4979,96.91,None
CELL-003003,BTH-0385,Line_2,Morning,ChemCorp,25.28,0.114,15.01,13.39,4950,97.84,None
CELL-005696,BTH-0287,Line_1,Evening,ChemCorp,23.0,0.107,14.79,15.48,4945,97.29,High Internal Resistance
CELL-011200,BTH-0388,Line_2,Night,LithioMat,23.91,0.106,15.03,13.49,5027,97.58,None
CELL-008394,BTH-0402,Line_2,Night,ChemCorp,22.38,0.125,15.0,14.69,5025,96.77,None
CELL-015254,BTH-0160,Line_3,Night,ChemCorp,20.5,0.14,14.97,13.48,5018,97.76,None
CELL-005338,BTH-0068,Line_1,Night,LithioMat,24.11,0.118,15.02,13.55,4990,96.98,None
CELL-015478,BTH-0158,Line_3,Evening,LithioMat,21.17,0.16,15.13,13.43,5023,95.84,None
CELL-015177,BTH-0444,Line_3,Evening,ChemCorp,23.33,0.115,15.07,13.99,4986,96.36,None
CELL-018735,BTH-0344,Line_3,Evening,VoltIndustries,24.57,0.122,14.76,16.01,4847,93.99,High Internal Resistance
CELL-004543,BTH-0113,Line_1,Night,ChemCorp,21.32,0.121,15.12,14.1,4967,97.82,None
CELL-003246,BTH-0490,Line_2,Night,LithioMat,21.7,0.128,14.96,13.08,5021,97.32,None
CELL-010148,BTH-0425,Line_2,Night,VoltIndustries,21.2,0.134,15.09,14.57,4984,97.63,None
CELL-014036,BTH-0199,Line_3,Evening,ChemCorp,26.88,0.136,14.85,13.89,4928,96.21,None
CELL-012045,BTH-0338,Line_1,Evening,ChemCorp,20.72,0.139,15.03,12.8,5035,95.99,None
CELL-012083,BTH-0466,Line_2,Night,VoltIndustries,20.63,0.14,14.86,14.26,4961,98.72,None
CELL-012359,BTH-0225,Line_2,Night,ChemCorp,19.49,0.141,15.07,14.02,5022,96.03,None
CELL-005028,BTH-0408,Line_2,Night,ChemCorp,22.24,0.1,14.94,14.59,5020,98.27,None
CELL-006039,BTH-0348,Line_1,Evening,LithioMat,23.61,0.152,14.86,13.46,4988,96.39,None
CELL-004350,BTH-0035,Line_3,Evening,VoltIndustries,22.13,0.153,15.11,14.98,4977,96.62,None
CELL-003904,BTH-0228,Line_1,Night,ChemCorp,21.87,0.118,14.97,13.89,5022,96.73,None
CELL-019850,BTH-0458,Line_1,Night,LithioMat,20.14,0.128,15.12,14.44,5012,95.8,None
CELL-009419,BTH-0055,Line_1,Evening,VoltIndustries,22.55,0.152,14.98,14.52,4986,96.44,None
CELL-007169,BTH-0192,Line_1,Night,LithioMat,22.32,0.121,15.08,14.5,5021,95.64,None
CELL-007897,BTH-0280,Line_3,Evening,VoltIndustries,24.39,0.131,15.15,14.91,4993,98.65,None
CELL-005249,BTH-0170,Line_1,Morning,ChemCorp,24.85,0.158,14.92,14.33,4940,98.04,None
CELL-007752,BTH-0400,Line_2,Night,LithioMat,21.65,0.112,15.03,14.51,4985,97.34,None
CELL-010164,BTH-0218,Line_3,Night,ChemCorp,25.86,0.151,14.8,15.2,4982,96.86,High Internal Resistance
CELL-014608,BTH-0456,Line_1,Evening,LithioMat,24.82,0.155,14.94,14.26,5004,97.3,None
CELL-008592,BTH-0496,Line_1,Evening,ChemCorp,23.63,0.115,15.04,14.21,5007,97.2,None
CELL-019884,BTH-0306,Line_2,Morning,VoltIndustries,21.24,0.115,14.92,15.27,4994,96.5,High Internal Resistance
CELL-006406,BTH-0082,Line_2,Night,LithioMat,21.36,0.121,14.98,14.24,4944,98.66,None
CELL-015985,BTH-0034,Line_2,Evening,ChemCorp,24.79,0.16,15.09,15.07,4949,97.3,High Internal Resistance
CELL-007719,BTH-0072,Line_2,Evening,VoltIndustries,21.98,0.171,15.04,13.56,5008,97.42,None
CELL-012864,BTH-0155,Line_1,Evening,ChemCorp,24.5,0.147,14.91,14.95,4998,97.14,None
CELL-007295,BTH-0089,Line_1,Morning,VoltIndustries,20.4,0.133,14.88,15.25,5019,98.25,High Internal Resistance
CELL-007664,BTH-0425,Line_3,Night,LithioMat,22.05,0.147,15.07,14.61,4986,96.69,None
CELL-006052,BTH-0151,Line_3,Night,LithioMat,22.03,0.178,15.02,13.48,4990,99.32,None
CELL-012189,BTH-0022,Line_1,Evening,VoltIndustries,23.25,0.143,14.82,13.95,5034,97.02,None
CELL-013418,BTH-0274,Line_2,Morning,LithioMat,25.38,0.153,14.86,13.88,4991,97.77,None
CELL-012331,BTH-0053,Line_1,Evening,VoltIndustries,23.72,0.173,15.04,13.68,4972,98.01,None
CELL-002950,BTH-0324,Line_2,Morning,ChemCorp,27.64,0.126,14.85,13.95,4942,97.18,None
CELL-017600,BTH-0019,Line_2,Morning,ChemCorp,25.08,0.173,15.0,14.19,5028,98.38,None
CELL-008553,BTH-0368,Line_2,Evening,LithioMat,23.97,0.158,15.0,13.36,4999,96.24,None
CELL-005789,BTH-0247,Line_2,Night,ChemCorp,19.78,0.113,14.93,14.23,5041,97.35,None
CELL-013774,BTH-0373,Line_1,Evening,ChemCorp,22.41,0.146,15.14,14.28,4997,98.15,None
CELL-018354,BTH-0477,Line_3,Night,ChemCorp,21.84,0.151,14.92,14.19,4995,96.77,None
CELL-005635,BTH-0181,Line_2,Morning,ChemCorp,22.65,0.12,15.11,14.43,4990,97.17,None
CELL-018508,BTH-0254,Line_1,Night,ChemCorp,19.84,0.116,15.08,14.31,5034,95.97,None
CELL-003955,BTH-0445,Line_3,Evening,LithioMat,25.49,0.137,14.92,13.79,5002,97.21,None
CELL-011401,BTH-0211,Line_3,Night,ChemCorp,20.69,0.174,14.94,14.24,5028,97.52,None
CELL-017831,BTH-0322,Line_1,Night,LithioMat,17.85,0.147,14.99,14.34,4993,96.54,None
CELL-007892,BTH-0181,Line_1,Evening,VoltIndustries,24.63,0.134,15.17,15.22,4952,98.15,High Internal Resistance
CELL-015019,BTH-0077,Line_1,Morning,LithioMat,23.12,0.122,14.9,13.69,4963,98.18,None
CELL-019171,BTH-0269,Line_1,Evening,LithioMat,23.26,0.139,14.97,14.66,5011,96.66,None
CELL-000910,BTH-0080,Line_1,Night,ChemCorp,21.22,0.129,14.87,13.98,5053,96.89,None
CELL-006510,BTH-0222,Line_2,Night,LithioMat,21.76,0.143,14.97,14.19,4937,97.03,None
CELL-000447,BTH-0317,Line_1,Night,LithioMat,20.76,0.152,15.26,14.09,4940,97.55,None
CELL-011037,BTH-0209,Line_2,Night,VoltIndustries,21.59,0.156,15.07,15.2,4948,95.71,High Internal Resistance
CELL-014679,BTH-0468,Line_2,Morning,ChemCorp,26.68,0.113,14.81,13.76,4950,94.94,Poor Retention
CELL-010987,BTH-0305,Line_3,Night,LithioMat,23.25,0.132,14.94,14.12,5058,96.78,None
CELL-003181,BTH-0118,Line_3,Morning,ChemCorp,22.85,0.144,14.94,14.18,5005,96.82,None
CELL-000738,BTH-0217,Line_3,Evening,VoltIndustries,22.21,0.138,15.04,14.84,4997,98.11,None
CELL-014240,BTH-0271,Line_1,Night,ChemCorp,21.9,0.126,15.15,13.28,4999,95.91,None
CELL-016844,BTH-0098,Line_3,Night,LithioMat,19.63,0.144,15.08,13.68,5033,96.05,None
CELL-018322,BTH-0176,Line_2,Evening,LithioMat,24.11,0.147,15.05,13.93,5019,97.07,None
CELL-009897,BTH-0032,Line_1,Morning,VoltIndustries,22.94,0.132,14.92,15.2,4988,96.43,High Internal Resistance
CELL-009349,BTH-0437,Line_3,Night,VoltIndustries,20.31,0.164,15.07,15.36,4946,97.41,High Internal Resistance
CELL-012295,BTH-0113,Line_2,Evening,ChemCorp,24.07,0.092,14.93,14.14,4979,96.28,Poor Retention
CELL-008061,BTH-0104,Line_1,Morning,ChemCorp,24.32,0.113,14.92,13.34,4981,97.15,None
CELL-007189,BTH-0006,Line_2,Evening,LithioMat,22.91,0.165,15.08,13.21,4960,98.1,None
CELL-000743,BTH-0357,Line_3,Morning,LithioMat,23.93,0.121,14.98,14.25,5045,96.01,None
CELL-007359,BTH-0443,Line_1,Morning,ChemCorp,25.21,0.11,15.11,13.46,4988,95.21,None
CELL-016476,BTH-0088,Line_1,Evening,LithioMat,26.53,0.14,14.66,15.66,4862,94.31,High Internal Resistance
CELL-014518,BTH-0267,Line_3,Evening,ChemCorp,24.22,0.126,14.98,14.11,4950,97.33,None
CELL-013357,BTH-0345,Line_2,Evening,LithioMat,21.67,0.092,15.06,13.89,4976,97.7,Poor Retention
CELL-011977,BTH-0075,Line_1,Night,LithioMat,21.4,0.135,15.05,13.01,5042,97.61,None
CELL-016826,BTH-0195,Line_3,Morning,LithioMat,23.97,0.143,15.07,14.09,4979,98.24,None
CELL-004394,BTH-0307,Line_1,Evening,VoltIndustries,24.19,0.158,14.96,15.66,4906,93.46,High Internal Resistance
CELL-007028,BTH-0349,Line_2,Morning,LithioMat,25.75,0.152,14.78,15.89,4835,94.22,High Internal Resistance
CELL-003765,BTH-0305,Line_2,Morning,LithioMat,24.23,0.161,14.92,14.73,5007,97.63,None
CELL-004537,BTH-0485,Line_2,Night,ChemCorp,20.64,0.136,14.95,14.23,4980,96.62,None
CELL-000558,BTH-0326,Line_2,Morning,ChemCorp,25.35,0.142,14.97,13.59,4939,95.91,None
CELL-016902,BTH-0055,Line_1,Morning,VoltIndustries,22.84,0.162,15.08,14.25,4993,97.71,None
CELL-012725,BTH-0275,Line_1,Evening,ChemCorp,27.1,0.117,14.78,15.49,4884,97.28,High Internal Resistance
CELL-015675,BTH-0249,Line_1,Evening,ChemCorp,23.9,0.137,15.06,13.99,5023,98.55,None
CELL-017388,BTH-0166,Line_1,Morning,VoltIndustries,23.92,0.13,15.06,15.62,4875,95.14,High Internal Resistance
CELL-014603,BTH-0097,Line_1,Evening,ChemCorp,22.92,0.132,14.98,14.0,5044,97.3,None
CELL-018101,BTH-0462,Line_1,Night,VoltIndustries,19.82,0.147,15.0,14.92,4920,97.86,None
CELL-008963,BTH-0111,Line_1,Morning,ChemCorp,20.81,0.138,14.97,14.03,5012,96.6,None
CELL-013500,BTH-0211,Line_2,Evening,ChemCorp,22.98,0.134,14.77,16.21,4828,92.78,High Internal Resistance
CELL-009682,BTH-0304,Line_2,Morning,ChemCorp,25.98,0.122,14.71,15.92,4881,93.01,High Internal Resistance
CELL-010740,BTH-0369,Line_2,Evening,ChemCorp,24.55,0.097,14.97,14.09,4972,96.33,None
CELL-012158,BTH-0304,Line_2,Morning,ChemCorp,23.39,0.152,14.94,13.36,4981,97.37,None
CELL-004506,BTH-0268,Line_1,Evening,LithioMat,21.68,0.157,15.18,13.37,4998,96.35,None
CELL-003593,BTH-0405,Line_3,Morning,LithioMat,24.12,0.138,15.06,14.45,4985,97.12,None
CELL-016371,BTH-0231,Line_1,Night,LithioMat,23.42,0.125,15.04,13.61,4998,97.26,None
CELL-007590,BTH-0229,Line_2,Evening,ChemCorp,24.34,0.179,14.88,13.91,4979,96.99,None
CELL-015235,BTH-0018,Line_1,Night,LithioMat,22.82,0.106,14.88,14.31,5015,96.64,Poor Retention
CELL-011357,BTH-0188,Line_1,Night,LithioMat,22.56,0.155,15.05,13.86,5010,96.91,None
CELL-013660,BTH-0400,Line_1,Evening,LithioMat,22.02,0.154,15.06,13.71,5035,96.47,None
CELL-001244,BTH-0025,Line_1,Night,ChemCorp,22.1,0.151,15.13,14.05,4974,97.15,None
CELL-019375,BTH-0349,Line_2,Evening,LithioMat,27.8,0.153,14.84,14.69,5000,95.91,None
CELL-005920,BTH-0177,Line_3,Night,LithioMat,21.83,0.148,15.08,13.97,4999,96.46,None
CELL-019138,BTH-0362,Line_3,Evening,ChemCorp,22.55,0.132,14.91,14.6,5002,95.71,None
CELL-001361,BTH-0172,Line_2,Night,LithioMat,23.98,0.119,15.02,13.84,5019,96.8,None
CELL-019957,BTH-0253,Line_2,Evening,VoltIndustries,23.17,0.136,15.0,14.89,5036,96.6,None
CELL-011530,BTH-0372,Line_3,Morning,VoltIndustries,24.78,0.098,15.03,14.48,5029,97.07,None
CELL-016120,BTH-0095,Line_2,Night,LithioMat,22.68,0.147,14.9,14.49,5004,97.31,None
CELL-003250,BTH-0067,Line_2,Night,LithioMat,21.95,0.149,14.91,13.26,5051,97.03,None
CELL-012849,BTH-0203,Line_1,Night,LithioMat,20.47,0.12,14.92,13.89,5015,97.52,None
CELL-009720,BTH-0180,Line_1,Night,ChemCorp,21.84,0.09,15.05,13.97,5037,95.89,Poor Retention
CELL-019170,BTH-0238,Line_1,Evening,ChemCorp,24.67,0.107,14.9,13.73,5009,95.55,None
CELL-003175,BTH-0030,Line_1,Morning,LithioMat,24.21,0.144,15.23,14.73,4987,96.26,None
CELL-016917,BTH-0395,Line_2,Morning,LithioMat,26.56,0.135,14.91,14.1,5015,96.54,None
CELL-011893,BTH-0025,Line_2,Evening,ChemCorp,23.35,0.148,15.05,14.17,5023,97.82,None
CELL-015290,BTH-0164,Line_1,Morning,LithioMat,23.13,0.109,15.12,14.49,4993,97.59,None
CELL-010411,BTH-0019,Line_2,Evening,ChemCorp,24.24,0.128,15.01,13.35,4983,97.47,None
CELL-015380,BTH-0381,Line_1,Night,ChemCorp,21.87,0.131,14.92,13.18,5046,97.6,None
CELL-002614,BTH-0382,Line_2,Night,VoltIndustries,24.48,0.12,15.17,14.58,4948,97.4,None
CELL-002549,BTH-0383,Line_3,Evening,LithioMat,22.25,0.16,15.14,13.77,4987,96.37,None
CELL-005628,BTH-0248,Line_2,Evening,ChemCorp,24.86,0.126,14.91,14.02,5007,96.21,None
CELL-016090,BTH-0058,Line_2,Morning,VoltIndustries,24.49,0.153,14.88,14.89,5067,97.59,None
CELL-000592,BTH-0319,Line_2,Night,ChemCorp,22.37,0.114,15.12,13.39,4926,96.95,None
CELL-015625,BTH-0361,Line_2,Morning,ChemCorp,23.98,0.112,14.95,13.67,4967,98.23,None
CELL-007572,BTH-0350,Line_1,Evening,VoltIndustries,24.71,0.148,15.13,15.37,4889,96.92,High Internal Resistance
CELL-012538,BTH-0379,Line_2,Night,ChemCorp,22.28,0.141,15.2,13.29,4962,97.7,None
CELL-012907,BTH-0289,Line_1,Night,VoltIndustries,24.8,0.153,15.15,14.63,4983,96.4,None
CELL-016206,BTH-0473,Line_2,Night,LithioMat,21.36,0.137,15.16,13.32,5018,96.06,None
CELL-014062,BTH-0079,Line_2,Night,LithioMat,22.35,0.17,15.05,13.24,4957,96.16,None
CELL-018399,BTH-0252,Line_1,Morning,ChemCorp,24.83,0.175,15.04,13.21,5009,97.31,None
CELL-019294,BTH-0164,Line_1,Evening,VoltIndustries,23.09,0.161,14.74,17.02,4753,95.46,Critical Resistance
CELL-013261,BTH-0020,Line_2,Night,LithioMat,20.78,0.131,14.9,14.35,5007,97.18,None
CELL-005061,BTH-0294,Line_2,Evening,LithioMat,24.41,0.081,14.99,13.44,5007,97.3,Poor Retention
CELL-004306,BTH-0120,Line_1,Evening,LithioMat,20.6,0.134,15.11,14.56,4974,96.24,None
CELL-014696,BTH-0017,Line_1,Morning,LithioMat,23.69,0.131,14.95,13.39,5016,96.47,None
CELL-003450,BTH-0425,Line_3,Night,VoltIndustries,20.9,0.105,14.92,13.81,4999,96.39,None
CELL-002527,BTH-0041,Line_1,Evening,ChemCorp,25.05,0.155,15.16,14.3,5031,96.15,None
CELL-012637,BTH-0049,Line_3,Morning,ChemCorp,25.13,0.137,14.84,14.2,5040,96.42,None
CELL-000669,BTH-0394,Line_3,Night,LithioMat,20.19,0.121,14.92,13.82,5003,96.54,None
CELL-018557,BTH-0116,Line_3,Evening,LithioMat,19.35,0.172,15.07,13.76,5002,97.17,None
CELL-017284,BTH-0332,Line_3,Night,ChemCorp,22.63,0.129,14.94,14.03,5078,98.1,None
CELL-009880,BTH-0472,Line_3,Morning,ChemCorp,23.23,0.133,15.03,13.58,5067,97.46,None
CELL-008868,BTH-0067,Line_3,Morning,VoltIndustries,23.02,0.136,14.99,14.55,4983,96.69,None
CELL-011686,BTH-0409,Line_2,Evening,ChemCorp,24.73,0.134,14.97,13.98,5050,97.46,None
CELL-010816,BTH-0064,Line_2,Morning,LithioMat,24.23,0.144,15.14,13.76,4983,97.2,None
CELL-003247,BTH-0158,Line_2,Night,VoltIndustries,23.16,0.168,14.93,14.83,4975,97.09,None
CELL-018218,BTH-0100,Line_3,Night,LithioMat,20.36,0.166,15.04,13.9,5008,96.69,None
CELL-000261,BTH-0233,Line_1,Morning,ChemCorp,24.8,0.161,15.0,14.42,5018,95.46,None
